Analyzer_Comb,Comb_Token,Target,Scenario,N_Detected_CVEs,N_All_CVEs
flawfinder-cppcheck,FLF-CPC,sqlite3,Scenario 4 (S.2-2),1,16
flawfinder-cppcheck,FLF-CPC,ffmpeg,Scenario 1 (S.1-1),7,22
flawfinder-cppcheck,FLF-CPC,ffmpeg,Scenario 2 (S.1-2),3,22
flawfinder-cppcheck,FLF-CPC,ffmpeg,Scenario 3 (S.2-1),6,22
flawfinder-cppcheck,FLF-CPC,ffmpeg,Scenario 4 (S.2-2),3,22
flawfinder-cppcheck,FLF-CPC,binutils,Scenario 1 (S.1-1),23,59
flawfinder-cppcheck,FLF-CPC,binutils,Scenario 2 (S.1-2),13,59
flawfinder-cppcheck,FLF-CPC,binutils,Scenario 3 (S.2-1),12,59
flawfinder-cppcheck,FLF-CPC,binutils,Scenario 4 (S.2-2),4,59
flawfinder-infer,FLF-IFR,libpng,Scenario 1 (S.1-1),3,7
flawfinder-infer,FLF-IFR,libpng,Scenario 2 (S.1-2),2,7
flawfinder-infer,FLF-IFR,libpng,Scenario 3 (S.2-1),1,7
flawfinder-infer,FLF-IFR,libpng,Scenario 4 (S.2-2),1,7
flawfinder-infer,FLF-IFR,libtiff,Scenario 1 (S.1-1),1,13
flawfinder-infer,FLF-IFR,libtiff,Scenario 2 (S.1-2),1,13
flawfinder-infer,FLF-IFR,libtiff,Scenario 3 (S.2-1),0,13
flawfinder-infer,FLF-IFR,libtiff,Scenario 4 (S.2-2),0,13
flawfinder-infer,FLF-IFR,libxml2,Scenario 1 (S.1-1),5,17
flawfinder-infer,FLF-IFR,libxml2,Scenario 2 (S.1-2),5,17
flawfinder-infer,FLF-IFR,libxml2,Scenario 3 (S.2-1),4,17
flawfinder-infer,FLF-IFR,libxml2,Scenario 4 (S.2-2),4,17
flawfinder-infer,FLF-IFR,poppler,Scenario 1 (S.1-1),4,22
flawfinder-infer,FLF-IFR,poppler,Scenario 2 (S.1-2),3,22
flawfinder-infer,FLF-IFR,poppler,Scenario 3 (S.2-1),4,22
flawfinder-infer,FLF-IFR,poppler,Scenario 4 (S.2-2),3,22
flawfinder-infer,FLF-IFR,openssl,Scenario 1 (S.1-1),8,21
flawfinder-infer,FLF-IFR,openssl,Scenario 2 (S.1-2),5,21
flawfinder-infer,FLF-IFR,openssl,Scenario 3 (S.2-1),6,21
flawfinder-infer,FLF-IFR,openssl,Scenario 4 (S.2-2),3,21
flawfinder-infer,FLF-IFR,php,Scenario 1 (S.1-1),5,15
flawfinder-infer,FLF-IFR,php,Scenario 2 (S.1-2),4,15
flawfinder-infer,FLF-IFR,php,Scenario 3 (S.2-1),5,15
flawfinder-infer,FLF-IFR,php,Scenario 4 (S.2-2),4,15
flawfinder-infer,FLF-IFR,sqlite3,Scenario 1 (S.1-1),5,16
flawfinder-infer,FLF-IFR,sqlite3,Scenario 2 (S.1-2),2,16
flawfinder-infer,FLF-IFR,sqlite3,Scenario 3 (S.2-1),5,16
flawfinder-infer,FLF-IFR,sqlite3,Scenario 4 (S.2-2),2,16
flawfinder-infer,FLF-IFR,ffmpeg,Scenario 1 (S.1-1),7,22
flawfinder-infer,FLF-IFR,ffmpeg,Scenario 2 (S.1-2),2,22
flawfinder-infer,FLF-IFR,ffmpeg,Scenario 3 (S.2-1),6,22
flawfinder-infer,FLF-IFR,ffmpeg,Scenario 4 (S.2-2),2,22
flawfinder-infer,FLF-IFR,binutils,Scenario 1 (S.1-1),26,59
flawfinder-infer,FLF-IFR,binutils,Scenario 2 (S.1-2),18,59
flawfinder-infer,FLF-IFR,binutils,Scenario 3 (S.2-1),10,59
flawfinder-infer,FLF-IFR,binutils,Scenario 4 (S.2-2),4,59
flawfinder-codeql,FLF-CQL,libpng,Scenario 1 (S.1-1),4,7
flawfinder-codeql,FLF-CQL,libpng,Scenario 2 (S.1-2),3,7
flawfinder-codeql,FLF-CQL,libpng,Scenario 3 (S.2-1),2,7
flawfinder-codeql,FLF-CQL,libpng,Scenario 4 (S.2-2),1,7
flawfinder-codeql,FLF-CQL,libtiff,Scenario 1 (S.1-1),6,13
flawfinder-codeql,FLF-CQL,libtiff,Scenario 2 (S.1-2),2,13
flawfinder-codeql,FLF-CQL,libtiff,Scenario 3 (S.2-1),5,13
flawfinder-codeql,FLF-CQL,libtiff,Scenario 4 (S.2-2),1,13
flawfinder-codeql,FLF-CQL,libxml2,Scenario 1 (S.1-1),14,17
flawfinder-codeql,FLF-CQL,libxml2,Scenario 2 (S.1-2),8,17
flawfinder-codeql,FLF-CQL,libxml2,Scenario 3 (S.2-1),14,17
flawfinder-codeql,FLF-CQL,libxml2,Scenario 4 (S.2-2),8,17
flawfinder-codeql,FLF-CQL,poppler,Scenario 1 (S.1-1),2,22
flawfinder-codeql,FLF-CQL,poppler,Scenario 2 (S.1-2),1,22
flawfinder-codeql,FLF-CQL,poppler,Scenario 3 (S.2-1),2,22
flawfinder-codeql,FLF-CQL,poppler,Scenario 4 (S.2-2),1,22
flawfinder-codeql,FLF-CQL,openssl,Scenario 1 (S.1-1),13,21
flawfinder-codeql,FLF-CQL,openssl,Scenario 2 (S.1-2),8,21
flawfinder-codeql,FLF-CQL,openssl,Scenario 3 (S.2-1),11,21
flawfinder-codeql,FLF-CQL,openssl,Scenario 4 (S.2-2),5,21
flawfinder-codeql,FLF-CQL,php,Scenario 1 (S.1-1),11,15
flawfinder-codeql,FLF-CQL,php,Scenario 2 (S.1-2),10,15
flawfinder-codeql,FLF-CQL,php,Scenario 3 (S.2-1),9,15
flawfinder-codeql,FLF-CQL,php,Scenario 4 (S.2-2),8,15
flawfinder-codeql,FLF-CQL,sqlite3,Scenario 1 (S.1-1),9,16
flawfinder-codeql,FLF-CQL,sqlite3,Scenario 2 (S.1-2),5,16
flawfinder-codeql,FLF-CQL,sqlite3,Scenario 3 (S.2-1),9,16
flawfinder-codeql,FLF-CQL,sqlite3,Scenario 4 (S.2-2),5,16
flawfinder-codeql,FLF-CQL,ffmpeg,Scenario 1 (S.1-1),8,22
flawfinder-codeql,FLF-CQL,ffmpeg,Scenario 2 (S.1-2),3,22
flawfinder-codeql,FLF-CQL,ffmpeg,Scenario 3 (S.2-1),7,22
flawfinder-codeql,FLF-CQL,ffmpeg,Scenario 4 (S.2-2),3,22
flawfinder-codeql,FLF-CQL,binutils,Scenario 1 (S.1-1),20,59
flawfinder-codeql,FLF-CQL,binutils,Scenario 2 (S.1-2),13,59
flawfinder-codeql,FLF-CQL,binutils,Scenario 3 (S.2-1),9,59
flawfinder-codeql,FLF-CQL,binutils,Scenario 4 (S.2-2),4,59
flawfinder-codechecker,FLF-CCH,libpng,Scenario 1 (S.1-1),3,7
flawfinder-codechecker,FLF-CCH,libpng,Scenario 2 (S.1-2),2,7
flawfinder-codechecker,FLF-CCH,libpng,Scenario 3 (S.2-1),1,7
flawfinder-codechecker,FLF-CCH,libpng,Scenario 4 (S.2-2),1,7
flawfinder-codechecker,FLF-CCH,libtiff,Scenario 1 (S.1-1),1,13
flawfinder-codechecker,FLF-CCH,libtiff,Scenario 2 (S.1-2),1,13
flawfinder-codechecker,FLF-CCH,libtiff,Scenario 3 (S.2-1),0,13
flawfinder-codechecker,FLF-CCH,libtiff,Scenario 4 (S.2-2),0,13
flawfinder-codechecker,FLF-CCH,libxml2,Scenario 1 (S.1-1),5,17
flawfinder-codechecker,FLF-CCH,libxml2,Scenario 2 (S.1-2),5,17
flawfinder-codechecker,FLF-CCH,libxml2,Scenario 3 (S.2-1),4,17
flawfinder-codechecker,FLF-CCH,libxml2,Scenario 4 (S.2-2),4,17
flawfinder-codechecker,FLF-CCH,poppler,Scenario 1 (S.1-1),2,22
flawfinder-codechecker,FLF-CCH,poppler,Scenario 2 (S.1-2),1,22
flawfinder-codechecker,FLF-CCH,poppler,Scenario 3 (S.2-1),2,22
flawfinder-codechecker,FLF-CCH,poppler,Scenario 4 (S.2-2),1,22
flawfinder-codechecker,FLF-CCH,openssl,Scenario 1 (S.1-1),9,21
flawfinder-codechecker,FLF-CCH,openssl,Scenario 2 (S.1-2),6,21
flawfinder-codechecker,FLF-CCH,openssl,Scenario 3 (S.2-1),6,21
flawfinder-codechecker,FLF-CCH,openssl,Scenario 4 (S.2-2),3,21
flawfinder-codechecker,FLF-CCH,php,Scenario 1 (S.1-1),3,15
flawfinder-codechecker,FLF-CCH,php,Scenario 2 (S.1-2),3,15
flawfinder-codechecker,FLF-CCH,php,Scenario 3 (S.2-1),2,15
flawfinder-codechecker,FLF-CCH,php,Scenario 4 (S.2-2),2,15
flawfinder-codechecker,FLF-CCH,sqlite3,Scenario 1 (S.1-1),4,16
flawfinder-codechecker,FLF-CCH,sqlite3,Scenario 2 (S.1-2),3,16
flawfinder-codechecker,FLF-CCH,sqlite3,Scenario 3 (S.2-1),4,16
flawfinder-codechecker,FLF-CCH,sqlite3,Scenario 4 (S.2-2),3,16
flawfinder-codechecker,FLF-CCH,ffmpeg,Scenario 1 (S.1-1),7,22
flawfinder-codechecker,FLF-CCH,ffmpeg,Scenario 2 (S.1-2),2,22
flawfinder-codechecker,FLF-CCH,ffmpeg,Scenario 3 (S.2-1),6,22
flawfinder-codechecker,FLF-CCH,ffmpeg,Scenario 4 (S.2-2),2,22
flawfinder-codechecker,FLF-CCH,binutils,Scenario 1 (S.1-1),25,59
flawfinder-codechecker,FLF-CCH,binutils,Scenario 2 (S.1-2),13,59
flawfinder-codechecker,FLF-CCH,binutils,Scenario 3 (S.2-1),14,59
flawfinder-codechecker,FLF-CCH,binutils,Scenario 4 (S.2-2),4,59
flawfinder-commsca,FLF-CSA,libpng,Scenario 1 (S.1-1),3,7
flawfinder-commsca,FLF-CSA,libpng,Scenario 2 (S.1-2),2,7
flawfinder-commsca,FLF-CSA,libpng,Scenario 3 (S.2-1),1,7
flawfinder-commsca,FLF-CSA,libpng,Scenario 4 (S.2-2),1,7
flawfinder-commsca,FLF-CSA,libtiff,Scenario 1 (S.1-1),6,13
flawfinder-commsca,FLF-CSA,libtiff,Scenario 2 (S.1-2),4,13
flawfinder-commsca,FLF-CSA,libtiff,Scenario 3 (S.2-1),4,13
flawfinder-commsca,FLF-CSA,libtiff,Scenario 4 (S.2-2),2,13
flawfinder-commsca,FLF-CSA,libxml2,Scenario 1 (S.1-1),10,17
flawfinder-commsca,FLF-CSA,libxml2,Scenario 2 (S.1-2),8,17
flawfinder-commsca,FLF-CSA,libxml2,Scenario 3 (S.2-1),8,17
flawfinder-commsca,FLF-CSA,libxml2,Scenario 4 (S.2-2),7,17
flawfinder-commsca,FLF-CSA,poppler,Scenario 1 (S.1-1),13,22
flawfinder-commsca,FLF-CSA,poppler,Scenario 2 (S.1-2),3,22
flawfinder-commsca,FLF-CSA,poppler,Scenario 3 (S.2-1),13,22
flawfinder-commsca,FLF-CSA,poppler,Scenario 4 (S.2-2),3,22
flawfinder-commsca,FLF-CSA,openssl,Scenario 1 (S.1-1),10,21
flawfinder-commsca,FLF-CSA,openssl,Scenario 2 (S.1-2),7,21
flawfinder-commsca,FLF-CSA,openssl,Scenario 3 (S.2-1),7,21
flawfinder-commsca,FLF-CSA,openssl,Scenario 4 (S.2-2),4,21
flawfinder-commsca,FLF-CSA,php,Scenario 1 (S.1-1),8,15
flawfinder-commsca,FLF-CSA,php,Scenario 2 (S.1-2),7,15
flawfinder-commsca,FLF-CSA,php,Scenario 3 (S.2-1),7,15
flawfinder-commsca,FLF-CSA,php,Scenario 4 (S.2-2),6,15
flawfinder-commsca,FLF-CSA,sqlite3,Scenario 1 (S.1-1),6,16
flawfinder-commsca,FLF-CSA,sqlite3,Scenario 2 (S.1-2),5,16
flawfinder-commsca,FLF-CSA,sqlite3,Scenario 3 (S.2-1),6,16
flawfinder-commsca,FLF-CSA,sqlite3,Scenario 4 (S.2-2),5,16
flawfinder-commsca,FLF-CSA,ffmpeg,Scenario 1 (S.1-1),10,22
