Analyzer_Comb,Comb_Token,LL_CWE_ID,HL_CWE_ID,Scenario,N_Detected_CVEs,N_All_CVEs
cppcheck,CPC,189,682,Scenario 1 (S.1-1),0,1
cppcheck,CPC,189,682,Scenario 2 (S.1-2),0,1
cppcheck,CPC,189,682,Scenario 3 (S.2-1),0,1
cppcheck,CPC,189,682,Scenario 4 (S.2-2),0,1
infer,IFR,399,664,Scenario 1 (S.1-1),0,4
infer,IFR,399,664,Scenario 2 (S.1-2),0,4
infer,IFR,399,664,Scenario 3 (S.2-1),0,4
infer,IFR,399,664,Scenario 4 (S.2-2),0,4
infer,IFR,681,664,Scenario 1 (S.1-1),0,1
infer,IFR,681,664,Scenario 2 (S.1-2),0,1
infer,IFR,681,664,Scenario 3 (S.2-1),0,1
infer,IFR,681,664,Scenario 4 (S.2-2),0,1
infer,IFR,611,664,Scenario 1 (S.1-1),0,1
infer,IFR,611,664,Scenario 2 (S.1-2),0,1
infer,IFR,611,664,Scenario 3 (S.2-1),0,1
infer,IFR,611,664,Scenario 4 (S.2-2),0,1
infer,IFR,416,664,Scenario 1 (S.1-1),0,7
infer,IFR,416,664,Scenario 2 (S.1-2),0,7
infer,IFR,416,664,Scenario 3 (S.2-1),0,7
infer,IFR,416,664,Scenario 4 (S.2-2),0,7
infer,IFR,20,707,Scenario 1 (S.1-1),0,11
infer,IFR,20,707,Scenario 2 (S.1-2),0,11
infer,IFR,20,707,Scenario 3 (S.2-1),0,11
infer,IFR,20,707,Scenario 4 (S.2-2),0,11
infer,IFR,835,691,Scenario 1 (S.1-1),0,6
infer,IFR,835,691,Scenario 2 (S.1-2),0,6
infer,IFR,835,691,Scenario 3 (S.2-1),0,6
infer,IFR,835,691,Scenario 4 (S.2-2),0,6
infer,IFR,401,664,Scenario 1 (S.1-1),0,1
infer,IFR,401,664,Scenario 2 (S.1-2),0,1
infer,IFR,401,664,Scenario 3 (S.2-1),0,1
infer,IFR,401,664,Scenario 4 (S.2-2),0,1
infer,IFR,131,682,Scenario 1 (S.1-1),0,1
infer,IFR,131,682,Scenario 2 (S.1-2),0,1
infer,IFR,131,682,Scenario 3 (S.2-1),0,1
infer,IFR,131,682,Scenario 4 (S.2-2),0,1
infer,IFR,772,664,Scenario 1 (S.1-1),0,2
infer,IFR,772,664,Scenario 2 (S.1-2),0,2
infer,IFR,772,664,Scenario 3 (S.2-1),0,2
infer,IFR,772,664,Scenario 4 (S.2-2),0,2
infer,IFR,119,664,Scenario 1 (S.1-1),7,36
infer,IFR,119,664,Scenario 2 (S.1-2),7,36
infer,IFR,119,664,Scenario 3 (S.2-1),3,36
infer,IFR,119,664,Scenario 4 (S.2-2),3,36
infer,IFR,190,682,Scenario 1 (S.1-1),1,17
infer,IFR,190,682,Scenario 2 (S.1-2),0,17
infer,IFR,190,682,Scenario 3 (S.2-1),1,17
infer,IFR,190,682,Scenario 4 (S.2-2),0,17
infer,IFR,664,664,Scenario 1 (S.1-1),1,1
infer,IFR,664,664,Scenario 2 (S.1-2),1,1
infer,IFR,664,664,Scenario 3 (S.2-1),1,1
infer,IFR,664,664,Scenario 4 (S.2-2),1,1
infer,IFR,369,682,Scenario 1 (S.1-1),1,8
infer,IFR,369,682,Scenario 2 (S.1-2),0,8
infer,IFR,369,682,Scenario 3 (S.2-1),1,8
infer,IFR,369,682,Scenario 4 (S.2-2),0,8
infer,IFR,476,703,Scenario 1 (S.1-1),5,29
infer,IFR,476,703,Scenario 2 (S.1-2),1,29
infer,IFR,476,703,Scenario 3 (S.2-1),4,29
infer,IFR,476,703,Scenario 4 (S.2-2),1,29
infer,IFR,129,707,Scenario 1 (S.1-1),0,1
infer,IFR,129,707,Scenario 2 (S.1-2),0,1
infer,IFR,129,707,Scenario 3 (S.2-1),0,1
infer,IFR,129,707,Scenario 4 (S.2-2),0,1
infer,IFR,787,664,Scenario 1 (S.1-1),2,12
infer,IFR,787,664,Scenario 2 (S.1-2),2,12
infer,IFR,787,664,Scenario 3 (S.2-1),0,12
infer,IFR,787,664,Scenario 4 (S.2-2),0,12
infer,IFR,415,664,Scenario 1 (S.1-1),0,1
infer,IFR,415,664,Scenario 2 (S.1-2),0,1
infer,IFR,415,664,Scenario 3 (S.2-1),0,1
infer,IFR,415,664,Scenario 4 (S.2-2),0,1
infer,IFR,617,691,Scenario 1 (S.1-1),0,1
infer,IFR,617,691,Scenario 2 (S.1-2),0,1
infer,IFR,617,691,Scenario 3 (S.2-1),0,1
infer,IFR,617,691,Scenario 4 (S.2-2),0,1
