Analyzer_Comb,Comb_Token,Target,N_All_Fcts,N_Marked_Fcts,Ratio_Marked_Fcts
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,php,9145,2808,0.30705303444505194
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,sqlite3,2298,449,0.19538729329852045
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,ffmpeg,17788,2813,0.15814031931639308
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,binutils,4071,1296,0.318349299926308
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,libpng,398,57,0.14321608040201006
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,libtiff,826,85,0.10290556900726393
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,libxml2,2982,1147,0.3846411804158283
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,poppler,4659,590,0.12663661729984976
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,openssl,13036,3613,0.277155569193004
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,php,9145,4656,0.5091306724986331
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,sqlite3,2298,543,0.2362924281984334
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,ffmpeg,17788,3472,0.1951877670339555
flawfinder-codeql-codechecker-commsca,FLF-CQL-CCH-CSA,binutils,4071,1192,0.2928027511667895
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,libpng,398,37,0.09296482412060302
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,libtiff,826,79,0.09564164648910412
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,libxml2,2982,975,0.32696177062374243
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,poppler,4659,156,0.0334835801674179
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,openssl,13036,2987,0.22913470389690088
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,php,9145,4205,0.4598141060688901
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,sqlite3,2298,452,0.19669277632724108
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,ffmpeg,17788,2504,0.14076905779176974
cppcheck-infer-codeql-codechecker,CPC-IFR-CQL-CCH,binutils,4071,370,0.0908867600098256
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,libpng,398,58,0.1457286432160804
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,libtiff,826,114,0.13801452784503632
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,libxml2,2982,1141,0.3826291079812207
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,poppler,4659,566,0.12148529727409316
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,openssl,13036,3832,0.2939552009818963
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,php,9145,4744,0.5187534171678513
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,sqlite3,2298,595,0.2589208006962576
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,ffmpeg,17788,3420,0.1922644479424331
cppcheck-infer-codeql-commsca,CPC-IFR-CQL-CSA,binutils,4071,1202,0.295259150085974
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,libpng,398,46,0.11557788944723618
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,libtiff,826,99,0.1198547215496368
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,libxml2,2982,592,0.19852448021462105
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,poppler,4659,596,0.1279244473062889
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,openssl,13036,2881,0.22100337526848726
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,php,9145,2780,0.3039912520503007
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,sqlite3,2298,417,0.1814621409921671
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,ffmpeg,17788,2609,0.14667191364965146
cppcheck-infer-codechecker-commsca,CPC-IFR-CCH-CSA,binutils,4071,1223,0.3004175878162614
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,libpng,398,42,0.10552763819095477
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,libtiff,826,76,0.09200968523002422
